P7(0)P3(0)P2(0)P5(0) - [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]
P7(0)P3(0)P2(0)P5(1) - [5, 15, 21, 8, 17, 3, 11, 6, 19, 10, 12, 9, 16, 18, 1, 20, 2, 13, 7, 14, 4]
P7(0)P3(0)P2(0)P5(2) - [2, 5, 8, 3, 15, 4, 9, 21, 11, 10, 19, 7, 14, 16, 17, 18, 1, 20, 12, 13, 6]
P7(0)P3(0)P2(1)P5(0) - [1, 5, 8, 16, 2, 20, 10, 3, 12, 7, 11, 9, 13, 21, 17, 4, 15, 18, 19, 6, 14]
P7(0)P3(0)P2(1)P5(1) - [2, 17, 14, 3, 15, 8, 11, 20, 19, 7, 9, 12, 4, 18, 1, 6, 5, 13, 10, 21, 16]
P7(0)P3(0)P2(1)P5(2) - [5, 2, 3, 8, 17, 16, 12, 14, 11, 7, 19, 10, 21, 4, 15, 18, 1, 6, 9, 13, 20]
P7(0)P3(1)P2(0)P5(0) - [2, 13, 15, 16, 9, 21, 8, 17, 5, 7, 14, 1, 12, 18, 4, 3, 10, 20, 19, 11, 6]
P7(0)P3(1)P2(0)P5(1) - [9, 4, 6, 17, 10, 15, 14, 21, 19, 7, 1, 5, 3, 20, 2, 11, 13, 12, 8, 18, 16]
P7(0)P3(1)P2(0)P5(2) - [13, 9, 17, 15, 4, 16, 5, 6, 14, 7, 19, 8, 18, 3, 10, 20, 2, 11, 1, 12, 21]
P7(0)P3(1)P2(1)P5(0) - [2, 9, 17, 3, 13, 11, 7, 15, 1, 8, 14, 5, 12, 6, 10, 16, 4, 20, 19, 21, 18]
P7(0)P3(1)P2(1)P5(1) - [13, 10, 18, 15, 4, 17, 14, 11, 19, 8, 5, 1, 16, 20, 2, 21, 9, 12, 7, 6, 3]
P7(0)P3(1)P2(1)P5(2) - [9, 13, 15, 17, 10, 3, 1, 18, 14, 8, 19, 7, 6, 16, 4, 20, 2, 21, 5, 12, 11]
P7(0)P3(2)P2(0)P5(0) - [5, 1, 7, 3, 2, 20, 4, 16, 12, 8, 21, 13, 9, 11, 15, 10, 17, 6, 19, 18, 14]
P7(0)P3(2)P2(0)P5(1) - [2, 15, 14, 16, 17, 7, 21, 20, 19, 8, 13, 12, 10, 6, 5, 18, 1, 9, 4, 11, 3]
P7(0)P3(2)P2(0)P5(2) - [1, 2, 16, 7, 15, 3, 12, 14, 21, 8, 19, 4, 11, 10, 17, 6, 5, 18, 13, 9, 20]
P7(0)P3(2)P2(1)P5(0) - [5, 2, 16, 10, 1, 18, 8, 7, 13, 4, 21, 12, 9, 14, 17, 3, 15, 6, 19, 20, 11]
P7(0)P3(2)P2(1)P5(1) - [1, 17, 11, 7, 15, 16, 21, 18, 19, 4, 12, 13, 3, 6, 5, 20, 2, 9, 8, 14, 10]
P7(0)P3(2)P2(1)P5(2) - [2, 1, 7, 16, 17, 10, 13, 11, 21, 4, 19, 8, 14, 3, 15, 6, 5, 20, 12, 9, 18]
P7(1)P3(0)P2(0)P5(0) - [20, 13, 2, 17, 21, 4, 5, 12, 14, 8, 7, 19, 6, 11, 3, 9, 15, 10, 1, 18, 16]
P7(1)P3(0)P2(0)P5(1) - [21, 3, 16, 12, 15, 2, 7, 4, 1, 8, 19, 14, 9, 10, 20, 18, 13, 6, 5, 11, 17]
P7(1)P3(0)P2(0)P5(2) - [13, 21, 12, 2, 3, 17, 14, 16, 7, 8, 1, 5, 11, 9, 15, 10, 20, 18, 19, 6, 4]
P7(1)P3(0)P2(1)P5(0) - [20, 21, 12, 9, 13, 18, 8, 2, 19, 5, 7, 14, 6, 16, 15, 17, 3, 10, 1, 4, 11]
P7(1)P3(0)P2(1)P5(1) - [13, 15, 11, 2, 3, 12, 7, 18, 1, 5, 14, 19, 17, 10, 20, 4, 21, 6, 8, 16, 9]
P7(1)P3(0)P2(1)P5(2) - [21, 13, 2, 12, 15, 9, 19, 11, 7, 5, 1, 8, 16, 17, 3, 10, 20, 4, 14, 6, 18]
P7(1)P3(1)P2(0)P5(0) - [13, 6, 3, 9, 14, 16, 12, 15, 21, 5, 11, 20, 19, 10, 17, 2, 8, 18, 1, 7, 4]
P7(1)P3(1)P2(0)P5(1) - [14, 17, 4, 15, 8, 3, 11, 16, 1, 5, 20, 21, 2, 18, 13, 7, 6, 19, 12, 10, 9]
P7(1)P3(1)P2(0)P5(2) - [6, 14, 15, 3, 17, 9, 21, 4, 11, 5, 1, 12, 10, 2, 8, 18, 13, 7, 20, 19, 16]
P7(1)P3(1)P2(1)P5(0) - [13, 14, 15, 2, 6, 7, 5, 3, 20, 12, 11, 21, 19, 4, 8, 9, 17, 18, 1, 16, 10]
P7(1)P3(1)P2(1)P5(1) - [6, 8, 10, 3, 17, 15, 11, 7, 1, 12, 21, 20, 9, 18, 13, 16, 14, 19, 5, 4, 2]
P7(1)P3(1)P2(1)P5(2) - [14, 6, 3, 15, 8, 2, 20, 10, 11, 12, 1, 5, 4, 9, 17, 18, 13, 16, 21, 19, 7]
P7(1)P3(2)P2(0)P5(0) - [21, 20, 5, 2, 13, 18, 17, 9, 19, 12, 16, 6, 14, 7, 3, 8, 15, 4, 1, 10, 11]
P7(1)P3(2)P2(0)P5(1) - [13, 3, 11, 9, 15, 5, 16, 18, 1, 12, 6, 19, 8, 4, 21, 10, 20, 14, 17, 7, 2]
P7(1)P3(2)P2(0)P5(2) - [20, 13, 9, 5, 3, 2, 19, 11, 16, 12, 1, 17, 7, 8, 15, 4, 21, 10, 6, 14, 18]
P7(1)P3(2)P2(1)P5(0) - [21, 13, 9, 8, 20, 10, 12, 5, 6, 17, 16, 19, 14, 11, 15, 2, 3, 4, 1, 18, 7]
P7(1)P3(2)P2(1)P5(1) - [20, 15, 7, 5, 3, 9, 16, 10, 1, 17, 19, 6, 2, 4, 21, 18, 13, 14, 12, 11, 8]
P7(1)P3(2)P2(1)P5(2) - [13, 20, 5, 9, 15, 8, 6, 7, 16, 17, 1, 12, 11, 2, 3, 4, 21, 18, 19, 14, 10]
P7(2)P3(0)P2(0)P5(0) - [18, 6, 13, 15, 16, 17, 21, 19, 11, 12, 5, 1, 4, 7, 2, 14, 3, 8, 20, 10, 9]
P7(2)P3(0)P2(0)P5(1) - [16, 2, 9, 19, 3, 13, 5, 17, 20, 12, 1, 11, 14, 8, 18, 10, 6, 4, 21, 7, 15]
P7(2)P3(0)P2(0)P5(2) - [6, 16, 19, 13, 2, 15, 11, 9, 5, 12, 20, 21, 7, 14, 3, 8, 18, 10, 1, 4, 17]
P7(2)P3(0)P2(1)P5(0) - [18, 16, 19, 14, 6, 10, 12, 13, 1, 21, 5, 11, 4, 9, 3, 15, 2, 8, 20, 17, 7]
