P7(0)P3(0)P2(0)P5(0) - [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]
P7(0)P3(0)P2(0)P5(1) - [5, 15, 21, 8, 17, 3, 11, 6, 19, 10, 12, 9, 16, 18, 1, 20, 2, 13, 7, 14, 4]
P7(0)P3(0)P2(0)P5(2) - [17, 1, 4, 6, 2, 21, 12, 3, 7, 10, 9, 19, 20, 13, 5, 14, 15, 16, 11, 18, 8]
P7(0)P3(0)P2(0)P5(3) - [2, 5, 8, 3, 15, 4, 9, 21, 11, 10, 19, 7, 14, 16, 17, 18, 1, 20, 12, 13, 6]
P7(0)P3(0)P2(0)P5(4) - [15, 17, 6, 21, 1, 8, 19, 4, 12, 10, 7, 11, 18, 20, 2, 13, 5, 14, 9, 16, 3]
P7(0)P3(0)P2(1)P5(0) - [1, 5, 8, 16, 2, 20, 10, 3, 12, 7, 11, 9, 13, 21, 17, 4, 15, 18, 19, 6, 14]
P7(0)P3(0)P2(1)P5(1) - [2, 17, 14, 3, 15, 8, 11, 20, 19, 7, 9, 12, 4, 18, 1, 6, 5, 13, 10, 21, 16]
P7(0)P3(0)P2(1)P5(2) - [15, 1, 16, 20, 5, 14, 9, 8, 10, 7, 12, 19, 6, 13, 2, 21, 17, 4, 11, 18, 3]
P7(0)P3(0)P2(1)P5(3) - [5, 2, 3, 8, 17, 16, 12, 14, 11, 7, 19, 10, 21, 4, 15, 18, 1, 6, 9, 13, 20]
P7(0)P3(0)P2(1)P5(4) - [17, 15, 20, 14, 1, 3, 19, 16, 9, 7, 10, 11, 18, 6, 5, 13, 2, 21, 12, 4, 8]
P7(0)P3(1)P2(0)P5(0) - [5, 13, 17, 4, 12, 14, 3, 15, 2, 10, 21, 1, 9, 18, 16, 8, 7, 6, 19, 11, 20]
P7(0)P3(1)P2(0)P5(1) - [12, 16, 20, 15, 7, 17, 21, 14, 19, 10, 1, 2, 8, 6, 5, 11, 13, 9, 3, 18, 4]
P7(0)P3(1)P2(0)P5(2) - [7, 5, 4, 14, 13, 20, 1, 17, 3, 10, 2, 19, 11, 9, 12, 18, 16, 8, 21, 6, 15]
P7(0)P3(1)P2(0)P5(3) - [13, 12, 15, 17, 16, 4, 2, 20, 21, 10, 19, 3, 18, 8, 7, 6, 5, 11, 1, 9, 14]
P7(0)P3(1)P2(0)P5(4) - [16, 7, 14, 20, 5, 15, 19, 4, 1, 10, 3, 21, 6, 11, 13, 9, 12, 18, 2, 8, 17]
P7(0)P3(1)P2(1)P5(0) - [5, 12, 15, 8, 13, 11, 10, 17, 1, 3, 21, 2, 9, 20, 7, 4, 16, 6, 19, 14, 18]
P7(0)P3(1)P2(1)P5(1) - [13, 7, 18, 17, 16, 15, 21, 11, 19, 3, 2, 1, 4, 6, 5, 14, 12, 9, 10, 20, 8]
P7(0)P3(1)P2(1)P5(2) - [16, 5, 8, 11, 12, 18, 2, 15, 10, 3, 1, 19, 14, 9, 13, 20, 7, 4, 21, 6, 17]
P7(0)P3(1)P2(1)P5(3) - [12, 13, 17, 15, 7, 8, 1, 18, 21, 3, 19, 10, 20, 4, 16, 6, 5, 14, 2, 9, 11]
P7(0)P3(1)P2(1)P5(4) - [7, 16, 11, 18, 5, 17, 19, 8, 2, 3, 10, 21, 6, 14, 12, 9, 13, 20, 1, 4, 15]
P7(0)P3(2)P2(0)P5(0) - [12, 9, 7, 4, 1, 18, 17, 16, 13, 10, 20, 5, 2, 6, 8, 15, 3, 14, 19, 21, 11]
P7(0)P3(2)P2(0)P5(1) - [1, 8, 11, 16, 3, 7, 20, 18, 19, 10, 5, 13, 15, 14, 12, 21, 9, 2, 17, 6, 4]
P7(0)P3(2)P2(0)P5(2) - [3, 12, 4, 18, 9, 11, 5, 7, 17, 10, 13, 19, 21, 2, 1, 6, 8, 15, 20, 14, 16]
P7(0)P3(2)P2(0)P5(3) - [9, 1, 16, 7, 8, 4, 13, 11, 20, 10, 19, 17, 6, 15, 3, 14, 12, 21, 5, 2, 18]
P7(0)P3(2)P2(0)P5(4) - [8, 3, 18, 11, 12, 16, 19, 4, 5, 10, 17, 20, 14, 21, 9, 2, 1, 6, 13, 15, 7]
P7(0)P3(2)P2(1)P5(0) - [12, 1, 16, 15, 9, 21, 10, 7, 5, 17, 20, 13, 2, 11, 3, 4, 8, 14, 19, 18, 6]
P7(0)P3(2)P2(1)P5(1) - [9, 3, 6, 7, 8, 16, 20, 21, 19, 17, 13, 5, 4, 14, 12, 18, 1, 2, 10, 11, 15]
P7(0)P3(2)P2(1)P5(2) - [8, 12, 15, 21, 1, 6, 13, 16, 10, 17, 5, 19, 18, 2, 9, 11, 3, 4, 20, 14, 7]
P7(0)P3(2)P2(1)P5(3) - [1, 9, 7, 16, 3, 15, 5, 6, 20, 17, 19, 10, 11, 4, 8, 14, 12, 18, 13, 2, 21]
P7(0)P3(2)P2(1)P5(4) - [3, 8, 21, 6, 12, 7, 19, 15, 13, 17, 10, 20, 14, 18, 1, 2, 9, 11, 5, 4, 16]
P7(1)P3(0)P2(0)P5(0) - [19, 3, 15, 6, 7, 13, 11, 10, 16, 18, 14, 8, 2, 9, 17, 21, 4, 20, 12, 1, 5]
P7(1)P3(0)P2(0)P5(1) - [7, 17, 5, 10, 4, 15, 14, 13, 12, 18, 8, 16, 21, 20, 19, 1, 3, 2, 11, 9, 6]
P7(1)P3(0)P2(0)P5(2) - [4, 19, 6, 13, 3, 5, 8, 15, 11, 18, 16, 12, 1, 2, 7, 9, 17, 21, 14, 20, 10]
P7(1)P3(0)P2(0)P5(3) - [3, 7, 10, 15, 17, 6, 16, 5, 14, 18, 12, 11, 9, 21, 4, 20, 19, 1, 8, 2, 13]
P7(1)P3(0)P2(0)P5(4) - [17, 4, 13, 5, 19, 10, 12, 6, 8, 18, 11, 14, 20, 1, 3, 2, 7, 9, 16, 21, 15]
P7(1)P3(0)P2(1)P5(0) - [19, 7, 10, 21, 3, 1, 18, 15, 8, 11, 14, 16, 2, 5, 4, 6, 17, 20, 12, 13, 9]
P7(1)P3(0)P2(1)P5(1) - [3, 4, 9, 15, 17, 10, 14, 1, 12, 11, 16, 8, 6, 20, 19, 13, 7, 2, 18, 5, 21]
P7(1)P3(0)P2(1)P5(2) - [17, 19, 21, 1, 7, 9, 16, 10, 18, 11, 8, 12, 13, 2, 3, 5, 4, 6, 14, 20, 15]
P7(1)P3(0)P2(1)P5(3) - [7, 3, 15, 10, 4, 21, 8, 9, 14, 11, 12, 18, 5, 6, 17, 20, 19, 13, 16, 2, 1]
P7(1)P3(0)P2(1)P5(4) - [4, 17, 1, 9, 19, 15, 12, 21, 16, 11, 18, 14, 20, 13, 7, 2, 3, 5, 8, 6, 10]
